step,prompt,category,avg_good_prob,avg_bad_prob,log_ratio,correct,timestamp
1000,2 + 2 =,arithmetic,0.000000,0.000006,-2.5885,False,2025-12-24T16:04:12.884479
1000,5 + 3 =,arithmetic,0.000000,0.000062,-7.4343,False,2025-12-24T16:04:12.884487
1000,10 - 4 =,arithmetic,0.000001,0.005280,-8.8138,False,2025-12-24T16:04:12.884491
1000,3 x 3 =,arithmetic,0.000026,0.000002,2.3561,True,2025-12-24T16:04:12.884495
1000,The capital of France is,knowledge,0.000000,0.000000,0.0000,False,2025-12-24T16:04:12.884499
1000,The sun rises in the,knowledge,0.000000,0.000000,-3.3229,False,2025-12-24T16:04:12.884503
1000,Water freezes at,knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T16:04:12.884507
1000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:04:12.884510
1000,The opposite of big is,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T16:04:12.884514
1000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:04:12.884518
1000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:04:12.884521
2000,2 + 2 =,arithmetic,0.000748,0.012571,-2.8213,False,2025-12-24T16:09:19.239930
2000,5 + 3 =,arithmetic,0.000037,0.000843,-3.1311,False,2025-12-24T16:09:19.239937
2000,10 - 4 =,arithmetic,0.001636,0.001933,-0.1669,False,2025-12-24T16:09:19.239940
2000,3 x 3 =,arithmetic,0.000000,0.021016,-11.0669,False,2025-12-24T16:09:19.239944
2000,The capital of France is,knowledge,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.239948
2000,The sun rises in the,knowledge,0.000000,0.000000,-0.0008,False,2025-12-24T16:09:19.239952
2000,Water freezes at,knowledge,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.239956
2000,The opposite of hot is,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:09:19.239959
2000,The opposite of big is,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T16:09:19.239963
2000,Dog is to puppy as cat is to,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.239967
2000,King is to queen as man is to,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.239970
